Timestamp,Conductivity (),Salinity (ppt),Specific Conductance (uS/cm),Dissolved Oxygen (mg/L),Temperature (C),Comment,Site,Folder,Unit ID
6/11/24 12:20,0,88888,-99999,10.22,20.4,,,KN,SW
6/11/24 12:35,0,4.65,8341,5.11,20.9,,,KN,SW
6/11/24 12:50,0,4.69,8418,5.65,21.2,,,KN,SW
6/11/24 13:05,0,4.75,8507,5.56,21.5,,,KN,SW
6/11/24 13:20,0,4.8,8601,5.74,21.7,,,KN,SW
6/11/24 13:35,0,4.85,8688,5.31,21.9,,,KN,SW
6/11/24 13:50,0,4.9,8770,5.48,22.1,,,KN,SW
6/11/24 14:05,0,4.89,8748,4.91,22,,,KN,SW
6/11/24 14:20,0,4.92,8808,5.16,22.1,,,KN,SW
6/11/24 14:35,0,4.94,8830,4.99,22.3,,,KN,SW
6/11/24 14:50,0,4.94,8840,5.11,22.4,,,KN,SW
6/11/24 15:05,0,4.93,8826,5.07,22.5,,,KN,SW
6/11/24 15:20,0,4.91,8795,5.19,22.6,,,KN,SW
6/11/24 15:35,0,4.87,8722,5.13,22.8,,,KN,SW
6/11/24 15:50,0,4.9,8766,5.1,22.8,,,KN,SW
6/11/24 16:05,0,4.92,8806,5.09,22.7,,,KN,SW
6/11/24 16:20,0,4.95,8856,5.04,22.7,,,KN,SW
6/11/24 16:35,0,4.98,8900,5.17,22.7,,,KN,SW
6/11/24 16:50,0,4.95,8848,4.7,22.4,,,KN,SW
6/11/24 17:05,0,4.91,8790,4.72,22.1,,,KN,SW
6/11/24 17:20,0,4.88,8738,4.43,21.8,,,KN,SW
6/11/24 17:35,0,4.88,8729,4.09,21.7,,,KN,SW
6/11/24 17:50,0,4.88,8726,4.03,21.6,,,KN,SW
6/12/24 6:29,0,0.01,24.4,10.27,14.7,,,,SW
6/12/24 6:44,0,0.01,24.1,10.14,14.7,,,,SW
6/12/24 6:59,0,0.01,24.1,10.14,14.7,,,,SW
6/12/24 7:14,0,0.01,24.1,10.06,14.9,,,,SW
6/12/24 7:29,0,0.01,24.2,10.05,15,,,,SW
6/12/24 7:44,0,5.08,9049,7,19.9,,,,SW
6/12/24 7:59,0,5.11,9101,6.83,20,,,,SW
6/12/24 8:14,0,5.12,9118,6.61,20,,,,SW
6/12/24 8:29,0,5.16,9187,6.56,20.1,,,,SW
6/12/24 8:44,0,5.2,9251,6.46,20.2,,,,SW
6/12/24 8:59,0,5.23,9308,6.55,20.3,,,,SW
6/12/24 9:14,0,5.27,9366,6.34,20.4,,,,SW
6/12/24 9:29,0,5.3,9421,6.3,20.6,,,,SW
6/12/24 9:44,0,5.31,9444,6.13,20.7,,,,SW
6/12/24 9:59,0,5.34,9488,6.03,20.8,,,,SW
6/12/24 10:14,0,5.35,9506,6.04,20.9,,,,SW
6/12/24 10:29,0,5.37,9545,5.97,21,,,,SW
6/12/24 10:44,0,5.38,9562,5.9,21.1,,,,SW
6/12/24 10:59,0,5.39,9567,5.8,21.3,,,,SW
6/12/24 11:14,0,5.38,9565,5.79,21.3,,,,SW
6/12/24 11:29,0,5.38,9560,5.76,21.4,,,,SW
6/12/24 11:44,0,5.38,9556,5.74,21.5,,,,SW
6/12/24 11:59,0,5.37,9548,5.55,21.6,,,,SW
6/12/24 12:14,0,5.37,9542,5.56,21.6,,,,SW
6/12/24 12:29,0,5.38,9559,5.41,21.8,,,,SW
6/12/24 12:44,0,5.39,9586,5.42,21.9,,,,SW
6/12/24 12:59,0,5.41,9614,5.46,22.1,,,,SW
6/12/24 13:14,0,5.43,9640,5.37,22.3,,,,SW
6/12/24 13:29,0,5.44,9665,5.33,22.5,,,,SW
6/12/24 13:44,0,5.45,9684,5.3,22.5,,,,SW
6/12/24 13:59,0,5.46,9694,5.27,22.6,,,,SW
6/12/24 14:14,0,5.46,9695,5.27,22.6,,,,SW
6/12/24 14:29,0,5.46,9711,5.26,22.8,,,,SW
6/12/24 14:44,0,5.47,9721,5.21,22.9,,,,SW
6/12/24 14:59,0,5.45,9695,5.17,22.9,,,,SW
6/12/24 15:14,0,5.39,9593,5.16,22.8,,,,SW
6/12/24 15:29,0,5.41,9623,5.08,22.9,,,,SW
6/12/24 15:44,0,5.41,9625,5.05,22.9,,,,SW
6/12/24 15:59,0,5.46,9714,5.12,23.1,,,,SW
6/12/24 16:14,0,5.46,9706,4.99,23.3,,,,SW
6/12/24 16:29,0,5.44,9678,4.97,23.2,,,,SW
6/12/24 16:44,0,5.42,9642,4.76,22.9,,,,SW
6/12/24 16:59,0,5.4,9607,4.81,22.7,,,,SW
6/12/24 17:14,0,5.38,9569,4.72,22.5,,,,SW
6/12/24 17:29,0,5.36,9539,3.91,22.3,,,,SW
6/13/24 7:07,0,2.74,5069,3.16,18.6,,TMPSW,,SW
6/13/24 7:22,0,2.75,5093,3.03,18.6,,TMPSW,,SW
6/13/24 7:37,0,5.48,9723,6.76,21,,TMPSW,,SW
6/13/24 7:52,0,5.52,9781,6.55,21.2,,TMPSW,,SW
6/13/24 8:07,0,5.54,9821,6.31,21.2,,TMPSW,,SW
6/13/24 8:22,0,5.56,9861,6.21,21.3,,TMPSW,,SW
6/13/24 8:37,0,5.59,9910,5.97,21.5,,TMPSW,,SW
6/13/24 8:52,0,5.62,9960,5.89,21.6,,TMPSW,,SW
6/13/24 9:07,0,5.63,9978,5.65,21.8,,TMPSW,,SW
6/13/24 9:22,0,5.63,9982,5.68,22,,TMPSW,,SW
6/13/24 9:37,0,5.63,9976,5.63,22.1,,TMPSW,,SW
6/13/24 9:52,0,5.62,9962,5.55,22.3,,TMPSW,,SW
6/13/24 10:07,0,5.61,9951,5.43,22.3,,TMPSW,,SW
6/13/24 10:22,0,5.61,9942,5.33,22.4,,TMPSW,,SW
6/13/24 10:37,0,5.61,9941,5.36,22.6,,TMPSW,,SW
6/13/24 10:52,0,5.62,9961,5.34,22.7,,TMPSW,,SW
6/13/24 11:07,0,5.63,9986,5.07,22.9,,TMPSW,,SW
6/13/24 11:22,0,5.65,10015,5.11,23,,TMPSW,,SW
6/13/24 11:37,0,5.66,10042,5.23,23.1,,TMPSW,,SW
6/13/24 11:52,0,5.68,10069,5.15,23.3,,TMPSW,,SW
6/13/24 12:07,0,5.68,10079,5.11,23.3,,TMPSW,,SW
6/13/24 12:22,0,5.7,10102,5.04,23.5,,TMPSW,,SW
